# sin^2(theta_24)   Delta_m^2_41   chi^2
7.94328e-05 0.794328 7.19367e-07
7.94328e-05 1 7.67272e-07
7.94328e-05 1.25893 4.32869e-07
7.94328e-05 1.58489 5.5761e-07
7.94328e-05 1.99526 6.29649e-07
7.94328e-05 2.51189 3.77356e-07
7.94328e-05 3.16228 4.51758e-07
7.94328e-05 3.98107 5.28684e-07
7.94328e-05 5.01187 3.98001e-07
7.94328e-05 6.30957 6.7766e-07
7.94328e-05 7.94328 3.42874e-07
7.94328e-05 10 5.39892e-07
7.94328e-05 12.5893 3.90637e-07
7.94328e-05 15.8489 3.30832e-07
7.94328e-05 19.9526 5.16888e-07
7.94328e-05 25.1189 5.01649e-07
7.94328e-05 31.6228 6.84979e-07
7.94328e-05 39.8107 7.30295e-07
7.94328e-05 50.1187 5.50289e-07
7.94328e-05 63.0957 5.1199e-07
7.94328e-05 79.4328 4.95233e-07
0.0001 0.0001 9.33661e-08
0.0001 0.000125893 9.51482e-08
0.0001 0.000158489 9.97117e-08
0.0001 0.000199526 1.09411e-07
0.0001 0.000251189 1.28407e-07
0.0001 0.000316228 1.63871e-07
0.0001 0.000398107 2.27409e-07
0.0001 0.000501187 3.35661e-07
0.0001 0.000630957 5.07329e-07
0.0001 0.000794328 7.50652e-07
0.0001 0.001 1.02484e-06
0.0001 0.00125893 1.15853e-06
0.0001 0.00158489 8.8354e-07
0.0001 0.00199526 3.1617e-07
0.0001 0.00251189 6.0014e-08
0.0001 0.00316228 2.00848e-07
0.0001 0.00398107 1.0277e-06
0.0001 0.00501187 1.72683e-06
0.0001 0.00630957 9.96422e-07
0.0001 0.00794328 7.82543e-07
0.0001 0.01 9.62781e-07
0.0001 0.0125893 1.13823e-06
0.0001 0.0158489 8.66093e-07
0.0001 0.0199526 8.27887e-07
0.0001 0.0251189 6.07075e-07
0.0001 0.0316228 8.97055e-07
0.0001 0.0398107 9.73645e-07
0.0001 0.0501187 8.04505e-07
0.0001 0.0630957 6.66151e-07
0.0001 0.0794328 1.03174e-06
0.0001 0.1 6.76931e-07
0.0001 0.125893 7.09553e-07
0.0001 0.158489 9.32627e-07
0.0001 0.199526 5.59686e-07
0.0001 0.251189 8.93078e-07
0.0001 0.316228 7.25827e-07
0.0001 0.398107 7.5746e-07
0.0001 0.501187 7.75567e-07
0.0001 0.630957 9.68255e-07
0.0001 0.794328 1.14009e-06
0.0001 1 1.21601e-06
0.0001 1.25893 6.86014e-07
0.0001 1.58489 8.83715e-07
0.0001 1.99526 9.97893e-07
0.0001 2.51189 5.98035e-07
0.0001 3.16228 7.15956e-07
0.0001 3.98107 8.37875e-07
0.0001 5.01187 6.30761e-07
0.0001 6.30957 1.07398e-06
0.0001 7.94328 5.43402e-07
0.0001 10 8.5564e-07
0.0001 12.5893 6.19088e-07
0.0001 15.8489 5.24308e-07
0.0001 19.9526 8.19178e-07
0.0001 25.1189 7.9503e-07
0.0001 31.6228 1.08558e-06
0.0001 39.8107 1.1574e-06
0.0001 50.1187 8.72113e-07
0.0001 63.0957 8.11418e-07
0.0001 79.4328 7.84858e-07
0.000125893 0.0001 1.4794e-07
0.000125893 0.000125893 1.50765e-07
0.000125893 0.000158489 1.57998e-07
0.000125893 0.000199526 1.7337e-07
0.000125893 0.000251189 2.03478e-07
